"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State House District","All Record Count"
"PA","B - Black","30-39.9","90-100","181","1,216"
"PA","W - White","50-59.9","0-9.9","029","1,198"
"PA","W - White","50-59.9","90-100","141","1,190"
"PA","B - Black","30-39.9","90-100","198","1,181"
"PA","W - White","40-49.9","0-9.9","140","1,174"
"PA","W - White","50-59.9","0-9.9","031","1,174"
"PA","W - White","0-9.9","0-9.9","145","1,172"
"PA","W - White","40-49.9","0-9.9","142","1,172"
"PA","W - White","60-69.9","0-9.9","018","1,168"
"PA","W - White","40-49.9","0-9.9","031","1,168"
"PA","B - Black","80-89.9","90-100","177","1,167"
"PA","W - White","60-69.9","90-100","018","1,166"
"PA","W - White","80-89.9","0-9.9","177","1,165"
"PA","W - White","60-69.9","0-9.9","141","1,165"
"PA","W - White","40-49.9","90-100","140","1,161"
"PA","W - White","50-59.9","0-9.9","141","1,159"
"PA","W - White","70-79.9","0-9.9","053","1,158"
"PA","W - White","40-49.9","0-9.9","029","1,156"
"PA","W - White","40-49.9","90-100","143","1,154"
"PA","W - White","40-49.9","90-100","141","1,147"
"PA","B - Black","80-89.9","90-100","202","1,147"
"PA","W - White","60-69.9","90-100","170","1,144"
"PA","B - Black","10-19.9","90-100","203","1,144"
"PA","W - White","90-100","0-9.9","147","1,143"
"PA","B - Black","10-19.9","90-100","197","1,142"
"PA","W - White","30-39.9","90-100","181","1,141"
"PA","W - White","60-69.9","90-100","174","1,139"
"PA","W - White","80-89.9","90-100","131","1,135"
"PA","B - Black","20-29.9","90-100","180","1,126"
"PA","B - Black","0-9.9","90-100","179","1,123"
"PA","W - White","30-39.9","90-100","029","1,119"
"PA","W - White","60-69.9","0-9.9","140","1,113"
"PA","W - White","0-9.9","90-100","175","1,111"
"PA","W - White","70-79.9","0-9.9","170","1,110"
"PA","W - White","50-59.9","90-100","177","1,110"
"PA","W - White","40-49.9","0-9.9","141","1,108"
"PA","B - Black","90-100","90-100","181","1,107"
"PA","W - White","60-69.9","0-9.9","170","1,105"
"PA","W - White","50-59.9","0-9.9","018","1,105"
"PA","B - Black","10-19.9","90-100","181","1,103"
"PA","W - White","50-59.9","90-100","143","1,100"
