"Geography/Registration Address/Voter File Source State","Demographics/Individual/Ethnicity/VoterBase Race","Voting/Voting Behavior/TSP - Mid-Term General Turnout Score Bucket","Issues/Modeled/TSP - Partisan Score Bucket","Geography/Registration Address/Voter File State Senate District","All Record Count"
"AK","W - White","20-29.9","0-9.9","M","837"
"AK","W - White","30-39.9","0-9.9","P","832"
"AK","W - White","0-9.9","0-9.9","O","827"
"AK","W - White","10-19.9","10-19.9","O","827"
"AK","W - White","40-49.9","0-9.9","L","822"
"AK","W - White","10-19.9","0-9.9","N","820"
"AK","W - White","50-59.9","0-9.9","C","811"
"AK","W - White","60-69.9","0-9.9","R","805"
"AK","W - White","70-79.9","90-100","G","800"
"AK","W - White","40-49.9","0-9.9","A","798"
"AK","W - White","40-49.9","0-9.9","R","792"
"AK","W - White","70-79.9","0-9.9","A","788"
"AK","W - White","80-89.9","20-29.9","O","781"
"AK","W - White","90-100","90-100","C","781"
"AK","W - White","20-29.9","0-9.9","D","779"
"AK","W - White","10-19.9","10-19.9","D","775"
"AK","W - White","50-59.9","0-9.9","R","772"
"AK","W - White","10-19.9","10-19.9","N","769"
"AK","W - White","80-89.9","0-9.9","G","762"
"AK","W - White","80-89.9","20-29.9","D","761"
"AK","W - White","60-69.9","0-9.9","A","748"
"AK","W - White","50-59.9","0-9.9","A","745"
"AK","W - White","80-89.9","0-9.9","K","742"
"AK","W - White","70-79.9","0-9.9","P","734"
"AK","W - White","30-39.9","0-9.9","L","734"
"AK","W - White","90-100","90-100","Q","730"
"AK","W - White","10-19.9","10-19.9","M","730"
"AK","W - White","0-9.9","0-9.9","D","729"
"AK","W - White","70-79.9","90-100","F","724"
"AK","W - White","90-100","90-100","A","716"
"AK","W - White","80-89.9","10-19.9","O","715"
"AK","W - White","0-9.9","10-19.9","A","714"
"AK","W - White","70-79.9","0-9.9","E","714"
"AK","W - White","60-69.9","90-100","H","713"
"AK","W - White","50-59.9","90-100","B","711"
"AK","W - White","70-79.9","90-100","K","704"
"AK","W - White","0-9.9","10-19.9","R","699"
"AK","W - White","0-9.9","10-19.9","N","691"
"AK","W - White","80-89.9","10-19.9","D","682"
"AK","W - White","60-69.9","90-100","E","679"
"AK","W - White","10-19.9","10-19.9","Q","679"
"AK","W - White","60-69.9","90-100","G","678"
"AK","W - White","90-100","0-9.9","J","674"
"AK","W - White","30-39.9","10-19.9","D","672"
"AK","W - White","30-39.9","10-19.9","N","670"
"AK","W - White","70-79.9","90-100","J","667"
"AK","W - White","40-49.9","90-100","B","665"
"AK","W - White","70-79.9","0-9.9","F","659"
"AK","W - White","90-100","90-100","P","657"
"AK","W - White","80-89.9","90-100","P","654"
"AK","W - White","80-89.9","20-29.9","A","652"
"AK","W - White","70-79.9","90-100","R","651"
"AK","W - White","0-9.9","10-19.9","M","647"
"AK","W - White","30-39.9","10-19.9","O","645"
"AK","W - White","30-39.9","10-19.9","M","645"
"AK","W - White","0-9.9","10-19.9","Q","643"
"AK","W - White","40-49.9","10-19.9","M","642"
"AK","W - White","0-9.9","20-29.9","N","642"
"AK","W - White","40-49.9","10-19.9","N","641"
"AK","W - White","10-19.9","0-9.9","C","639"
"AK","W - White","60-69.9","90-100","I","636"
"AK","W - White","10-19.9","0-9.9","R","632"
"AK","W - White","50-59.9","0-9.9","P","631"
"AK","W - White","80-89.9","20-29.9","C","631"
"AK","W - White","40-49.9","10-19.9","D","629"
"AK","W - White","0-9.9","10-19.9","C","628"
"AK","W - White","20-29.9","0-9.9","C","626"
"AK","W - White","0-9.9","20-29.9","D","621"
"AK","W - White","80-89.9","30-39.9","C","621"
"AK","W - White","70-79.9","0-9.9","H","619"
"AK","W - White","50-59.9","10-19.9","O","618"
"AK","W - White","80-89.9","90-100","O","614"
"AK","W - White","40-49.9","0-9.9","P","612"
"AK","W - White","0-9.9","0-9.9","Q","612"
"AK","W - White","70-79.9","90-100","L","608"
"AK","W - White","60-69.9","90-100","F","606"
"AK","W - White","60-69.9","90-100","R","603"
"AK","W - White","60-69.9","0-9.9","E","600"
"AK","W - White","40-49.9","10-19.9","O","599"
"AK","W - White","10-19.9","0-9.9","P","597"
"AK","W - White","10-19.9","20-29.9","D","594"
"AK","W - White","50-59.9","10-19.9","D","592"
"AK","W - White","80-89.9","20-29.9","M","592"
